Year,LinearTrend
1900,-0.333416667
1901,-0.32975
1902,-0.32625
1903,-0.322583333
1904,-0.319
1905,-0.315416667
1906,-0.31175
1907,-0.30825
1908,-0.304583333
1909,-0.301083333
1910,-0.2975
1911,-0.293916667
1912,-0.290333333
1913,-0.286666667
1914,-0.283083333
1915,-0.2795
1916,-0.275916667
1917,-0.272333333
1918,-0.268666667
1919,-0.265083333
1920,-0.2615
1921,-0.257916667
1922,-0.254333333
1923,-0.250666667
1924,-0.247083333
1925,-0.2435
1926,-0.239916667
1927,-0.236333333
1928,-0.232666667
1929,-0.22925
1930,-0.225583333
1931,-0.222
1932,-0.218416667
1933,-0.21475
1934,-0.21125
1935,-0.207583333
1936,-0.204
1937,-0.200416667
1938,-0.19675
1939,-0.19325
1940,-0.189583333
1941,-0.186
1942,-0.182416667
1943,-0.17875
1944,-0.17525
1945,-0.171583333
1946,-0.168
1947,-0.164416667
1948,-0.160833333
1949,-0.157333333
1950,-0.153666667
1951,-0.150083333
1952,-0.1465
1953,-0.142916667
1954,-0.139333333
1955,-0.135666667
1956,-0.132083333
1957,-0.1285
1958,-0.124916667
1959,-0.121333333
1960,-0.117666667
1961,-0.114083333
1962,-0.1105
1963,-0.106916667
1964,-0.103333333
1965,-0.099666667
1966,-0.096083333
1967,-0.0925
1968,-0.089
1969,-0.085416667
1970,-0.08175
1971,-0.07825
1972,-0.074583333
1973,-0.071
1974,-0.067416667
1975,-0.06375
1976,-0.06025
1977,-0.056583333
1978,-0.053
1979,-0.049416667
1980,-0.04575
1981,-0.04225
1982,-0.038583333
1983,-0.035
1984,-0.031416667
1985,-0.02775
1986,-0.02425
1987,-0.020583333
1988,-0.017
1989,-0.0135
1990,-0.009916667
1991,-0.006333333
1992,-0.002666667
1993,0.000916667
1994,0.0045
1995,0.008083333
1996,0.011666667
1997,0.015333333
1998,0.018916667
1999,0.0225
2000,0.026083333
2001,0.029666667
2002,0.033333333
2003,0.036916667
2004,0.0405
2005,0.044083333
2006,0.047666667
2007,0.051333333
2008,0.054833333
2009,0.058416667
2010,0.062
2011,0.065583333
2012,0.06925
2013,0.07275
2014,0.076416667
2015,0.08
2016,0.083583333
2017,0.08725
2018,0.09075
2019,0.094416667
2020,0.097818182
