Year,LinearTrend
1900,-0.503916667
1901,-0.4985
1902,-0.492916667
1903,-0.487416667
1904,-0.481833333
1905,-0.476333333
1906,-0.47075
1907,-0.46525
1908,-0.459666667
1909,-0.45425
1910,-0.448666667
1911,-0.443166667
1912,-0.437583333
1913,-0.432083333
1914,-0.4265
1915,-0.421
1916,-0.4155
1917,-0.409916667
1918,-0.4045
1919,-0.398916667
1920,-0.393416667
1921,-0.387833333
1922,-0.382333333
1923,-0.37675
1924,-0.37125
1925,-0.365666667
1926,-0.36025
1927,-0.354666667
1928,-0.349166667
1929,-0.343583333
1930,-0.338083333
1931,-0.3325
1932,-0.327
1933,-0.3215
1934,-0.315916667
1935,-0.3105
1936,-0.304916667
1937,-0.299416667
1938,-0.293833333
1939,-0.288333333
1940,-0.28275
1941,-0.27725
1942,-0.271666667
1943,-0.26625
1944,-0.260666667
1945,-0.255166667
1946,-0.249583333
1947,-0.244083333
1948,-0.2385
1949,-0.233
1950,-0.2275
1951,-0.221916667
1952,-0.2165
1953,-0.210916667
1954,-0.205416667
1955,-0.199833333
1956,-0.194333333
1957,-0.18875
1958,-0.18325
1959,-0.177666667
1960,-0.17225
1961,-0.166666667
1962,-0.161166667
1963,-0.155583333
1964,-0.150083333
1965,-0.1445
1966,-0.139
1967,-0.1335
1968,-0.127916667
1969,-0.1225
1970,-0.116916667
1971,-0.111416667
1972,-0.105833333
1973,-0.100333333
1974,-0.09475
1975,-0.08925
1976,-0.083666667
1977,-0.07825
1978,-0.072666667
1979,-0.067166667
1980,-0.061583333
1981,-0.056083333
1982,-0.0505
1983,-0.045
1984,-0.0395
1985,-0.033916667
1986,-0.028416667
1987,-0.022916667
1988,-0.017416667
1989,-0.011833333
1990,-0.006333333
1991,-0.00075
1992,0.00475
1993,0.010333333
1994,0.015833333
1995,0.021333333
1996,0.026833333
1997,0.032416667
1998,0.037916667
1999,0.0435
2000,0.049
2001,0.0545
2002,0.060083333
2003,0.065583333
2004,0.071083333
2005,0.076583333
2006,0.082166667
2007,0.087666667
2008,0.09325
2009,0.09875
2010,0.104333333
2011,0.109833333
2012,0.115333333
2013,0.120833333
2014,0.126416667
2015,0.131916667
2016,0.1375
2017,0.143
2018,0.1485
2019,0.154083333
2020,0.159363636
