Year,LinearTrend
1900,-0.359583333
1901,-0.355833333
1902,-0.352166667
1903,-0.348416667
1904,-0.344583333
1905,-0.340833333
1906,-0.337083333
1907,-0.333333333
1908,-0.3295
1909,-0.325833333
1910,-0.322083333
1911,-0.31825
1912,-0.3145
1913,-0.31075
1914,-0.307
1915,-0.30325
1916,-0.2995
1917,-0.295666667
1918,-0.291916667
1919,-0.288166667
1920,-0.2845
1921,-0.280666667
1922,-0.276833333
1923,-0.273166667
1924,-0.269416667
1925,-0.265583333
1926,-0.261833333
1927,-0.258166667
1928,-0.254333333
1929,-0.2505
1930,-0.246833333
1931,-0.243083333
1932,-0.239333333
1933,-0.2355
1934,-0.23175
1935,-0.228
1936,-0.22425
1937,-0.2205
1938,-0.21675
1939,-0.212916667
1940,-0.209166667
1941,-0.2055
1942,-0.201666667
1943,-0.197916667
1944,-0.194166667
1945,-0.190416667
1946,-0.186583333
1947,-0.182833333
1948,-0.179166667
1949,-0.175416667
1950,-0.1715
1951,-0.167833333
1952,-0.164083333
1953,-0.160333333
1954,-0.1565
1955,-0.152833333
1956,-0.149
1957,-0.14525
1958,-0.1415
1959,-0.13775
1960,-0.134
1961,-0.130166667
1962,-0.1265
1963,-0.122666667
1964,-0.118916667
1965,-0.115166667
1966,-0.1115
1967,-0.107583333
1968,-0.103833333
1969,-0.100166667
1970,-0.096416667
1971,-0.092583333
1972,-0.088833333
1973,-0.085083333
1974,-0.081333333
1975,-0.0775
1976,-0.073833333
1977,-0.070083333
1978,-0.06625
1979,-0.0625
1980,-0.05875
1981,-0.055
1982,-0.051166667
1983,-0.0475
1984,-0.043666667
1985,-0.039916667
1986,-0.036166667
1987,-0.0325
1988,-0.028583333
1989,-0.024833333
1990,-0.021166667
1991,-0.017416667
1992,-0.013583333
1993,-0.009833333
1994,-0.006083333
1995,-0.002333333
1996,0.0015
1997,0.005166667
1998,0.008916667
1999,0.01275
2000,0.0165
2001,0.02025
2002,0.024
2003,0.02775
2004,0.0315
2005,0.035333333
2006,0.039083333
2007,0.042833333
2008,0.0465
2009,0.050333333
2010,0.054166667
2011,0.057833333
2012,0.061583333
2013,0.065416667
2014,0.069166667
2015,0.072833333
2016,0.076666667
2017,0.0805
2018,0.084166667
2019,0.087916667
2020,0.091545455
