Year,LinearTrend
1900,-0.417666667
1901,-0.413
1902,-0.408416667
1903,-0.403833333
1904,-0.39925
1905,-0.394666667
1906,-0.39
1907,-0.385416667
1908,-0.380916667
1909,-0.37625
1910,-0.371666667
1911,-0.367
1912,-0.3625
1913,-0.357916667
1914,-0.35325
1915,-0.348666667
1916,-0.344083333
1917,-0.3395
1918,-0.334916667
1919,-0.33025
1920,-0.32575
1921,-0.321083333
1922,-0.3165
1923,-0.311916667
1924,-0.307333333
1925,-0.30275
1926,-0.298083333
1927,-0.2935
1928,-0.289
1929,-0.284333333
1930,-0.27975
1931,-0.275083333
1932,-0.270583333
1933,-0.266
1934,-0.261333333
1935,-0.25675
1936,-0.252166667
1937,-0.247583333
1938,-0.243
1939,-0.238333333
1940,-0.233833333
1941,-0.229166667
1942,-0.224583333
1943,-0.22
1944,-0.215416667
1945,-0.210833333
1946,-0.206166667
1947,-0.201666667
1948,-0.197
1949,-0.192416667
1950,-0.187833333
1951,-0.18325
1952,-0.178666667
1953,-0.174
1954,-0.169416667
1955,-0.164916667
1956,-0.16025
1957,-0.155666667
1958,-0.151
1959,-0.1465
1960,-0.141916667
1961,-0.13725
1962,-0.132666667
1963,-0.128083333
1964,-0.1235
1965,-0.118916667
1966,-0.11425
1967,-0.10975
1968,-0.105083333
1969,-0.1005
1970,-0.095916667
1971,-0.091333333
1972,-0.08675
1973,-0.082083333
1974,-0.0775
1975,-0.073
1976,-0.068333333
1977,-0.06375
1978,-0.059083333
1979,-0.054583333
1980,-0.05
1981,-0.045333333
1982,-0.04075
1983,-0.036166667
1984,-0.031583333
1985,-0.027
1986,-0.022333333
1987,-0.017833333
1988,-0.013166667
1989,-0.008583333
1990,-0.004
1991,0.000583333
1992,0.005166667
1993,0.009833333
1994,0.014333333
1995,0.019
1996,0.023583333
1997,0.028166667
1998,0.03275
1999,0.037333333
2000,0.042
2001,0.046583333
2002,0.051083333
2003,0.05575
2004,0.060333333
2005,0.065
2006,0.0695
2007,0.074083333
2008,0.07875
2009,0.083333333
2010,0.087916667
2011,0.0925
2012,0.097083333
2013,0.10175
2014,0.10625
2015,0.110916667
2016,0.1155
2017,0.120083333
2018,0.124666667
2019,0.12925
2020,0.133727273
