Year,LinearTrend
1900,-0.512916667
1901,-0.507416667
1902,-0.501833333
1903,-0.496333333
1904,-0.490833333
1905,-0.485333333
1906,-0.47975
1907,-0.47425
1908,-0.468666667
1909,-0.46325
1910,-0.457666667
1911,-0.452166667
1912,-0.446583333
1913,-0.441166667
1914,-0.435583333
1915,-0.430083333
1916,-0.4245
1917,-0.419
1918,-0.4135
1919,-0.408
1920,-0.4025
1921,-0.396916667
1922,-0.391416667
1923,-0.385916667
1924,-0.380416667
1925,-0.374833333
1926,-0.369333333
1927,-0.36375
1928,-0.358333333
1929,-0.35275
1930,-0.34725
1931,-0.341666667
1932,-0.33625
1933,-0.330666667
1934,-0.325166667
1935,-0.319583333
1936,-0.314083333
1937,-0.308583333
1938,-0.303083333
1939,-0.2975
1940,-0.292
1941,-0.2865
1942,-0.281
1943,-0.2755
1944,-0.269916667
1945,-0.264416667
1946,-0.258833333
1947,-0.253416667
1948,-0.247833333
1949,-0.242333333
1950,-0.23675
1951,-0.231333333
1952,-0.22575
1953,-0.22025
1954,-0.214666667
1955,-0.209166667
1956,-0.203666667
1957,-0.198166667
1958,-0.192583333
1959,-0.187083333
1960,-0.181583333
1961,-0.176083333
1962,-0.1705
1963,-0.165
1964,-0.1595
1965,-0.153916667
1966,-0.1485
1967,-0.142916667
1968,-0.137416667
1969,-0.131833333
1970,-0.126416667
1971,-0.120833333
1972,-0.115333333
1973,-0.10975
1974,-0.10425
1975,-0.09875
1976,-0.09325
1977,-0.087666667
1978,-0.082166667
1979,-0.076666667
1980,-0.071166667
1981,-0.065583333
1982,-0.060083333
1983,-0.0545
1984,-0.049083333
1985,-0.0435
1986,-0.038
1987,-0.0325
1988,-0.026916667
1989,-0.0215
1990,-0.015916667
1991,-0.010416667
1992,-0.004833333
1993,0.000666667
1994,0.006166667
1995,0.011666667
1996,0.01725
1997,0.02275
1998,0.02825
1999,0.03375
2000,0.039333333
2001,0.044833333
2002,0.050416667
2003,0.055833333
2004,0.061416667
2005,0.066916667
2006,0.0725
2007,0.077916667
2008,0.0835
2009,0.089
2010,0.0945
2011,0.100083333
2012,0.105583333
2013,0.111083333
2014,0.116583333
2015,0.122166667
2016,0.127666667
2017,0.13325
2018,0.138666667
2019,0.14425
2020,0.149545455
